lambda_,bounds,final_fv_m,final_fv_std,f_evals_m,f_evals_std,seconds_m,seconds_std,n_failures
0.1,1,101.21914160737748,98.43850009306317,337.5,221.5,404.0625,530.8112187656247,1
0.2,1,24.678760091154427,23.441623544357473,414.5,210.5,552.8958333333334,648.732135914999,1
0.3,1,11.361357110609532,2.4511977431810275,376.0,36.0,324.8541666666667,236.09398519640467,1
0.4,1,15.777757014388339,5.5695673556286,325.0,64.0,291.5104166666667,110.35013251900428,1
0.5,1,11.047862951525097,11.968524895599138,438.3333333333333,77.54711829304526,608.1822916666666,243.48109510605778,0
0.6,1,4.425667225129609,5.885185343884168,543.6666666666666,211.5409075227663,1331.203125,983.8255411785467,0
0.7,1,0.12213773313896327,0.03647115862915372,620.6666666666666,97.72182742640231,1412.9270833333333,425.5298876408186,0
0.8,1,0.014067406734335486,0.00038110016761822664,897.6666666666666,22.69116323349001,3092.6197916666665,382.62316796167,0
0.9,1,0.011791297865107075,0.0002255461569972212,890.0,13.490737563232042,2671.34375,122.37532718291298,0
